"dish_name","cuisine","category","dietary_type","temp","importance","primary_protein"
"Thai Spring Rolls","Thai","Appetizer","Veg","hot","8.5","None"
"Chicken Satay","Thai","Appetizer","Non-Veg","hot","9.2","Chicken"
"Fresh Summer Rolls","Thai","Appetizer","Non-Veg","cold","8.8","Shrimp"
"Thai Fried Calamari","Thai","Appetizer","Non-Veg","hot","7.5","Squid"
"Thai Fish Cakes","Thai","Appetizer","Non-Veg","hot","8","Fish"
"Green Papaya Salad","Thai","Salad","Non-Veg","cold","9.8","Dried Shrimp"
"Thai Chicken Wings","Thai","Appetizer","Non-Veg","hot","7.2","Chicken"
"Thai Shrimp Cakes","Thai","Appetizer","Non-Veg","hot","7.8","Shrimp"
"Fried Wontons","Thai","Appetizer","Non-Veg","hot","6.5","Pork"
"Fried Tofu","Thai","Appetizer","Vegan","hot","6","Tofu"
"Golden Bags","Thai","Appetizer","Non-Veg","hot","6.8","Chicken"
"Thai Curry Puffs","Thai","Appetizer","Non-Veg","hot","7.4","Chicken"
"Chicken Lettuce Wraps","Thai","Appetizer","Non-Veg","cold","7.1","Chicken"
"Steamed Dumplings","Thai","Appetizer","Non-Veg","hot","7.9","Pork"
"Thai Corn Fritters","Thai","Appetizer","Veg","hot","6.7","Corn"
"Larb Gai","Thai","Salad","Non-Veg","warm","9","Chicken"
"Shrimp in a Blanket","Thai","Appetizer","Non-Veg","hot","7.6","Shrimp"
"Sun-Dried Beef","Thai","Appetizer","Non-Veg","hot","8.2","Beef"
"Waterfall Beef Salad","Thai","Salad","Non-Veg","warm","8.9","Beef"
"Coconut Shrimp","Thai","Appetizer","Non-Veg","hot","7.8","Shrimp"
"Pad Thai","Thai","Main Course","Non-Veg","hot","10","Shrimp"
"Pad See Ew","Thai","Main Course","Non-Veg","hot","9.2","Beef"
"Drunken Noodles","Thai","Main Course","Non-Veg","hot","9","Chicken"
"Khao Soi","Thai","Main Course","Non-Veg","hot","9.5","Chicken"
"Pad Woon Sen","Thai","Main Course","Non-Veg","hot","7.4","Pork"
"Boat Noodles","Thai","Main Course","Non-Veg","hot","8.7","Beef"
"Rad Na","Thai","Main Course","Non-Veg","hot","7.9","Pork"
"Kuay Teow Nua","Thai","Main Course","Non-Veg","hot","8.2","Beef"
"Pad Kra Pao","Thai","Main Course","Non-Veg","hot","9.9","Pork"
"Cashew Chicken","Thai","Main Course","Non-Veg","hot","8.5","Chicken"
"Pad Priew Wan","Thai","Main Course","Non-Veg","hot","7.2","Pork"
"Pad Ginger","Thai","Main Course","Non-Veg","hot","7","Chicken"
"Pad Prik Khing","Thai","Main Course","Non-Veg","hot","8.1","Pork"
"Garlic Pepper Stir-Fry","Thai","Main Course","Non-Veg","hot","7.6","Chicken"
"Kana Moo Krob","Thai","Main Course","Non-Veg","hot","8.8","Pork"
"Mixed Vegetable Stir-Fry","Thai","Main Course","Veg","hot","6.5","None"
"Green Curry","Thai","Main Course","Non-Veg","hot","9.7","Chicken"
"Red Curry","Thai","Main Course","Non-Veg","hot","9.4","Beef"
"Yellow Curry","Thai","Main Course","Non-Veg","hot","8.9","Chicken"
"Massaman Curry","Thai","Main Course","Non-Veg","hot","9.6","Beef"
"Panang Curry","Thai","Main Course","Non-Veg","hot","9.1","Beef"
"Jungle Curry","Thai","Main Course","Non-Veg","hot","7.5","Pork"
"Pineapple Curry","Thai","Main Course","Non-Veg","hot","7.8","Duck"
"Duck Curry","Thai","Main Course","Non-Veg","hot","8.6","Duck"
"Thai Fried Rice","Thai","Main Course","Non-Veg","hot","8.5","Chicken"
"Pineapple Fried Rice","Thai","Main Course","Non-Veg","hot","8.2","Shrimp"
"Basil Fried Rice","Thai","Main Course","Non-Veg","hot","8.4","Pork"
"Crab Fried Rice","Thai","Main Course","Non-Veg","hot","9","Crab"
"Crying Tiger","Thai","Main Course","Non-Veg","hot","9.3","Beef"
"Larb","Thai","Salad","Non-Veg","warm","9.1","Chicken"
"Gai Yang","Thai","Main Course","Non-Veg","hot","8.9","Chicken"
"Steam Ginger Fish","Thai","Main Course","Non-Veg","hot","8","Fish"
"Pla Rad Prik","Thai","Main Course","Non-Veg","hot","8.4","Fish"
"Khao Kha Moo","Thai","Main Course","Non-Veg","hot","8.7","Pork"
"Khao Mok Gai","Thai","Main Course","Non-Veg","hot","8.3","Chicken"
"Yum Woon Sen","Thai","Salad","Non-Veg","cold","8.5","Shrimp"
"Tom Yum Soup","Thai","Soup","Non-Veg","hot","9.8","Shrimp"
"Tom Kha Soup","Thai","Soup","Non-Veg","hot","9.4","Chicken"
"Khua Kling","Thai","Main Course","Non-Veg","hot","8","Pork"
"Mango Sticky Rice","Thai","Dessert","Vegan","cold","10","None"
"Fried Bananas","Thai","Dessert","Vegan","hot","7.5","None"
"Thai Coconut Custard","Thai","Dessert","Veg","warm","7.8","None"
"Sweet Sticky Rice with Custard","Thai","Dessert","Veg","warm","7.6","None"
"Roti with Condensed Milk","Thai","Dessert","Veg","hot","9","None"
"Thai Iced Tea","Thai","Drink","Veg","cold","9.8","None"
"Thai Iced Coffee","Thai","Drink","Veg","cold","8.5","None"
"Pink Milk","Thai","Drink","Veg","cold","7.2","None"
"Fresh Whole Coconut","Thai","Drink","Vegan","cold","8","None"
"Vegetable Samosa","Indian","Appetizer","Vegan","hot","9.8","Potato"
"Paneer Tikka","Indian","Appetizer","Veg","hot","9.2","Paneer"
"Chicken Tikka","Indian","Appetizer","Non-Veg","hot","9.5","Chicken"
"Gobi Manchurian","Indian","Appetizer","Vegan","hot","8.9","Cauliflower"
"Vegetable Pakora","Indian","Appetizer","Vegan","hot","8","Vegetables"
"Samosa Chaat","Indian","Appetizer","Veg","warm","9.1","Chickpeas"
"Chicken 65","Indian","Appetizer","Non-Veg","hot","8.8","Chicken"
"Papdi Chaat","Indian","Appetizer","Veg","cold","8.7","Flour"
"Aloo Tikki","Indian","Appetizer","Vegan","hot","8.4","Potato"
"Onion Bhaji","Indian","Appetizer","Vegan","hot","8.2","Onion"
"Pani Puri","Indian","Appetizer","Vegan","cold","10","Chickpeas"
"Chicken Lollipop","Indian","Appetizer","Non-Veg","hot","8.6","Chicken"
"Seekh Kebab","Indian","Appetizer","Non-Veg","hot","9","Lamb"
"Chilli Paneer","Indian","Appetizer","Veg","hot","8.8","Paneer"
"Hara Bhara Kabab","Indian","Appetizer","Veg","hot","7.9","Spinach"
"Tandoori Chicken","Indian","Appetizer","Non-Veg","hot","9.7","Chicken"
"Dahi Puri","Indian","Appetizer","Veg","cold","8.9","Yogurt"
"Bhel Puri","Indian","Appetizer","Vegan","cold","8.5","Puffed Rice"
"Vada Pav","Indian","Appetizer","Vegan","hot","9.4","Potato"
"Paneer Pakora","Indian","Appetizer","Veg","hot","7.8","Paneer"
"Chilli Chicken","Indian","Appetizer","Non-Veg","hot","9.2","Chicken"
"Medhu Vada","Indian","Appetizer","Vegan","hot","8.3","Lentils"
"Idli","Indian","Appetizer","Vegan","hot","9","Rice"
"Fish Tikka","Indian","Appetizer","Non-Veg","hot","8.5","Fish"
"Lamb Boti Kebab","Indian","Appetizer","Non-Veg","hot","8.7","Lamb"
"Malai Kofta","Indian","Main Course","Veg","hot","8.8","Paneer"
"Masala Papad","Indian","Appetizer","Vegan","cold","7.5","Lentils"
"Kachori","Indian","Appetizer","Vegan","hot","8.2","Lentils"
"Sabudana Vada","Indian","Appetizer","Veg","hot","7.9","Tapioca"
"Bharwan Mushroom","Indian","Appetizer","Veg","hot","7.6","Mushrooms"
"Amritsari Fish Fry","Indian","Appetizer","Non-Veg","hot","8.9","Fish"
"Dahi Bhalla","Indian","Appetizer","Veg","cold","9.1","Lentils"
"Chicken Chapli Kebab","Indian","Appetizer","Non-Veg","hot","8.4","Chicken"
"Gobi 65","Indian","Appetizer","Vegan","hot","8.5","Cauliflower"
"Moong Dal Halwa Kachumber","Indian","Salad","Vegan","cold","6.8","Moong Dal"
"Mogo Chips","Indian","Appetizer","Vegan","hot","7.2","Cassava"
"Khandvi","Indian","Appetizer","Veg","cold","8","Chickpea Flour"
"Chicken Malai Kebab","Indian","Appetizer","Non-Veg","hot","8.7","Chicken"
"Shrimp Tandoori","Indian","Appetizer","Non-Veg","hot","9","Shrimp"
"Veg Spring Rolls","Indian","Appetizer","Vegan","hot","7","Vegetables"
"Chicken Tikka Masala","Indian","Main Course","Non-Veg","hot","10","Chicken"
"Butter Chicken","Indian","Main Course","Non-Veg","hot","10","Chicken"
"Chicken Biryani","Indian","Main Course","Non-Veg","hot","10","Chicken"
"Palak Paneer","Indian","Main Course","Veg","hot","9.5","Paneer"
"Lamb Rogan Josh","Indian","Main Course","Non-Veg","hot","9.3","Lamb"
"Chana Masala","Indian","Main Course","Vegan","hot","9.2","Chickpeas"
"Tandoori Chicken Main","Indian","Main Course","Non-Veg","hot","9.7","Chicken"
"Masala Dosa","Indian","Main Course","Vegan","hot","9.6","Rice"
"Lamb Vindaloo","Indian","Main Course","Non-Veg","hot","8.9","Lamb"
"Aloo Gobi","Indian","Main Course","Vegan","hot","9","Potato"
"Dal Makhani","Indian","Main Course","Veg","hot","9.8","Lentils"
"Chicken Korma","Indian","Main Course","Non-Veg","hot","9.2","Chicken"
"Paneer Tikka Masala","Indian","Main Course","Veg","hot","9.5","Paneer"
"Chicken Jalfrezi","Indian","Main Course","Non-Veg","hot","8.5","Chicken"
"Malai Kofta Main","Indian","Main Course","Veg","hot","8.9","Paneer"
"Baingan Bharta","Indian","Main Course","Vegan","hot","8.7","Eggplant"
"Shahi Paneer","Indian","Main Course","Veg","hot","9.3","Paneer"
"Chicken Curry","Indian","Main Course","Non-Veg","hot","9","Chicken"
"Lamb Curry","Indian","Main Course","Non-Veg","hot","8.8","Lamb"
"Matar Paneer","Indian","Main Course","Veg","hot","8.5","Paneer"
"Kadai Paneer","Indian","Main Course","Veg","hot","9","Paneer"
"Saag Chicken","Indian","Main Course","Non-Veg","hot","8.7","Chicken"
"Shrimp Tandoori Main","Indian","Main Course","Non-Veg","hot","8.4","Shrimp"
"Bhindi Masala","Indian","Main Course","Vegan","hot","8.2","Okra"
"Chole Bhature","Indian","Main Course","Veg","hot","9.6","Chickpeas"
"Fish Curry Goan","Indian","Main Course","Non-Veg","hot","8.9","Fish"
"Lamb Madras","Indian","Main Course","Non-Veg","hot","8.6","Lamb"
"Navratan Korma","Indian","Main Course","Veg","hot","8.1","Vegetables"
"Yellow Dal Tadka","Indian","Main Course","Vegan","hot","9.7","Lentils"
"Paneer Bhurji","Indian","Main Course","Veg","hot","8","Paneer"
"Chicken 65 Main","Indian","Main Course","Non-Veg","hot","8.9","Chicken"
"Goat Biryani","Indian","Main Course","Non-Veg","hot","9.4","Goat"
"Vegetable Pulao","Indian","Main Course","Vegan","hot","8.5","Rice"
"Chicken Do Pyaza","Indian","Main Course","Non-Veg","hot","8.3","Chicken"
"Kadhai Chicken","Indian","Main Course","Non-Veg","hot","8.8","Chicken"
"Tandoori Mixed Grill","Indian","Main Course","Non-Veg","hot","9.5","Mixed Meats"
"Lamb Boti Kabab Main","Indian","Main Course","Non-Veg","hot","8.7","Lamb"
"Paneer Makhani","Indian","Main Course","Veg","hot","9.4","Paneer"
"Shrimp Curry","Indian","Main Course","Non-Veg","hot","8.9","Shrimp"
"Dal Fry","Indian","Main Course","Vegan","hot","9.2","Lentils"
"Keema Matar","Indian","Main Course","Non-Veg","hot","8.6","Lamb"
"Mushroom Masala","Indian","Main Course","Veg","hot","8.3","Mushroom"
"Fish Tikka Main","Indian","Main Course","Non-Veg","hot","8.5","Fish"
"Chicken Chettinad","Indian","Main Course","Non-Veg","hot","9.1","Chicken"
"Egg Curry","Indian","Main Course","Veg","hot","8.2","Egg"
"Nihari","Indian","Main Course","Non-Veg","hot","8.8","Beef"
"Aloo Matar","Indian","Main Course","Vegan","hot","8.1","Potato"
"Lamb Pasanda","Indian","Main Course","Non-Veg","hot","8.4","Lamb"
"Gobi Manchurian Main","Indian","Main Course","Vegan","hot","8.9","Cauliflower"
"Chilli Chicken Main","Indian","Main Course","Non-Veg","hot","9.2","Chicken"
"Chicken Tikka Main","Indian","Main Course","Non-Veg","hot","9.7","Chicken"
"Vegetable Makhanwala","Indian","Main Course","Veg","hot","8.4","Vegetables"
"Pork Vindaloo","Indian","Main Course","Non-Veg","hot","8.6","Pork"
"Methi Chicken","Indian","Main Course","Non-Veg","hot","8.3","Chicken"
"Paneer Ghee Roast","Indian","Main Course","Veg","hot","9","Paneer"
"Lemon Rice","Indian","Main Course","Vegan","warm","8.8","Rice"
"Bisi Bele Bath","Indian","Main Course","Veg","hot","8.5","Rice"
"Tandoori Salmon","Indian","Main Course","Non-Veg","hot","8.4","Salmon"
"Chilli Paneer Main","Indian","Main Course","Veg","hot","8.8","Paneer"
"Puri Bhaji","Indian","Main Course","Vegan","hot","9.3","Potato"
"Gulab Jamun","Indian","Dessert","Veg","hot","10","Milk"
"Rasmalai","Indian","Dessert","Veg","cold","9.5","Milk"
"Kheer","Indian","Dessert","Veg","warm","9","Milk"
"Gajar Ka Halwa","Indian","Dessert","Veg","hot","9.2","Carrot"
"Rasgulla","Indian","Dessert","Veg","cold","9.4","Milk"
"Kulfi","Indian","Dessert","Veg","cold","9.1","Milk"
"Jalebi","Indian","Dessert","Veg","hot","9.6","Flour"
"Laddu","Indian","Dessert","Veg","warm","8.8","Flour"
"Kaju Katli","Indian","Dessert","Veg","cold","9.7","Cashew"
"Mango Lassi","Indian","Drink","Veg","cold","10","Yogurt"
"Falooda","Indian","Dessert","Veg","cold","8.9","Milk"
"Shrikhand","Indian","Dessert","Veg","cold","8.5","Yogurt"
"Soan Papdi","Indian","Dessert","Veg","cold","8.2","Gram Flour"
"Kalakand","Indian","Dessert","Veg","cold","8.4","Milk"
"Barfi","Indian","Dessert","Veg","cold","8.7","Milk"
"Moong Dal Halwa","Indian","Dessert","Veg","hot","8.6","Lentils"
"Peda","Indian","Dessert","Veg","cold","8.3","Milk"
"Mysore Pak","Indian","Dessert","Veg","warm","8.5","Gram Flour"
"Sandesh","Indian","Dessert","Veg","cold","8.8","Milk"
"Gulab Jamun Cheesecake","Indian","Dessert","Veg","cold","9","Cheese"
"Tzatziki with Warm Pita","Greek","Appetizer","Veg","cold","9.8","Yogurt"
"Spanakopita","Greek","Appetizer","Veg","hot","9.5","Cheese"
"Saganaki","Greek","Appetizer","Veg","hot","9.2","Cheese"
"Dolmades","Greek","Appetizer","Vegan","cold","8.8","Rice"
"Calamari Tiganita","Greek","Appetizer","Non-Veg","hot","9","Squid"
"Grilled Octopus","Greek","Appetizer","Non-Veg","hot","9.4","Octopus"
"Htipiti","Greek","Appetizer","Veg","cold","8.2","Cheese"
"Melitzanosalata","Greek","Appetizer","Vegan","cold","8.5","Eggplant"
"Keftedakia","Greek","Appetizer","Non-Veg","hot","8.7","Beef"
"Kolokithokeftedes","Greek","Appetizer","Veg","hot","8.4","Zucchini"
"Gigantes Plaki","Greek","Appetizer","Vegan","hot","8.1","Beans"
"Tyropita","Greek","Appetizer","Veg","hot","8.3","Cheese"
"Taramosalata","Greek","Appetizer","Non-Veg","cold","7.9","Fish Roe"
"Hummus with Warm Pita","Greek","Appetizer","Vegan","cold","9.1","Chickpeas"
"Greek Salad","Greek","Salad","Veg","cold","10","Cheese"
"Marinated Olives","Greek","Appetizer","Vegan","cold","8","None"
"Feta with Honey and Sesame","Greek","Appetizer","Veg","hot","8.9","Cheese"
"Shrimp Saganaki","Greek","Appetizer","Non-Veg","hot","8.6","Shrimp"
"Grilled Halloumi","Greek","Appetizer","Veg","hot","8.8","Cheese"
"Loukaniko","Greek","Appetizer","Non-Veg","hot","8.2","Pork"
"Dakos","Greek","Appetizer","Veg","cold","8.4","Cheese"
"Fried Anchovies","Greek","Appetizer","Non-Veg","hot","7.8","Fish"
"Stuffed Florina Peppers","Greek","Appetizer","Veg","hot","8","Cheese"
"Avgolemono Soup","Greek","Soup","Non-Veg","hot","9.7","Chicken"
"Grilled Sardines","Greek","Appetizer","Non-Veg","hot","8.1","Fish"
"Manouri Cheese with Figs","Greek","Appetizer","Veg","cold","8.4","Cheese"
"Tomato Keftedes","Greek","Appetizer","Veg","hot","9.1","None"
"Skordalia","Greek","Appetizer","Vegan","cold","8.7","Potato"
"Zucchini Chips with Skordalia","Greek","Appetizer","Veg","hot","8.9","None"
"Beet Salad with Skordalia","Greek","Salad","Veg","cold","8.2","None"
"Fava Dip","Greek","Appetizer","Vegan","warm","8.6","Peas"
"Phyllo Wrapped Shrimp","Greek","Appetizer","Non-Veg","hot","8.8","Shrimp"
"Roasted Cauliflower with Tahini","Greek","Appetizer","Vegan","warm","7.9","None"
"Grilled Quail","Greek","Appetizer","Non-Veg","hot","8","Quail"
"Lentil Soup (Fakes)","Greek","Soup","Vegan","hot","9.4","Lentils"
"Spinach and Leek Pie","Greek","Appetizer","Veg","hot","8.5","Cheese"
"Mussels with Ouzo","Greek","Appetizer","Non-Veg","hot","8.7","Mussels"
"Fried Eggplant","Greek","Appetizer","Vegan","hot","7.8","None"
"Greek Fries with Oregano and Feta","Greek","Appetizer","Veg","hot","9.5","None"
"Lamb Riblets","Greek","Appetizer","Non-Veg","hot","8.6","Lamb"
"Cretan Meat Pies","Greek","Appetizer","Non-Veg","hot","8.3","Lamb"
"Chickpea Stew","Greek","Appetizer","Vegan","hot","8.1","Chickpeas"
"Grilled Scallops with Lemon","Greek","Appetizer","Non-Veg","hot","8.4","Scallops"
"Pastitsio Bites","Greek","Appetizer","Non-Veg","hot","7.9","Beef"
"Pickled Octopus","Greek","Appetizer","Non-Veg","cold","8.8","Octopus"
"Marinated Anchovies","Greek","Appetizer","Non-Veg","cold","8","Fish"
"Grilled Mushrooms","Greek","Appetizer","Vegan","hot","7.7","None"
"Cucumber Salad","Greek","Salad","Vegan","cold","7.5","None"
"Grapefruit and Fennel Salad","Greek","Salad","Vegan","cold","7.4","None"
"Assorted Meze Platter","Greek","Appetizer","Mixed","cold","10","Mixed"
"Moussaka","Greek","Main Course","Non-Veg","hot","10","Beef"
"Lamb Chops (Paidakia)","Greek","Main Course","Non-Veg","hot","9.8","Lamb"
"Pastitsio","Greek","Main Course","Non-Veg","hot","9.2","Beef"
"Chicken Souvlaki Platter","Greek","Main Course","Non-Veg","hot","9.5","Chicken"
"Whole Grilled Branzino","Greek","Main Course","Non-Veg","hot","9.4","Fish"
"Gyro Platter","Greek","Main Course","Non-Veg","hot","10","Lamb"
"Roasted Lamb Shank (Kleftiko)","Greek","Main Course","Non-Veg","hot","9.1","Lamb"
"Shrimp Santorinio","Greek","Main Course","Non-Veg","hot","8.6","Shrimp"
"Pork Souvlaki","Greek","Main Course","Non-Veg","hot","8.8","Pork"
"Bifteki","Greek","Main Course","Non-Veg","hot","8.4","Beef"
"Grilled Swordfish","Greek","Main Course","Non-Veg","hot","8.2","Fish"
"Gemista","Greek","Main Course","Veg","hot","8.9","Rice"
"Youvetsi","Greek","Main Course","Non-Veg","hot","8.7","Lamb"
"Grilled Red Snapper","Greek","Main Course","Non-Veg","hot","8.3","Fish"
"Lemon Potatoes with Chicken","Greek","Main Course","Non-Veg","hot","9.4","Chicken"
"Sea Bass with Capers and Lemon","Greek","Main Course","Non-Veg","hot","8.1","Fish"
"Lamb Kebabs","Greek","Main Course","Non-Veg","hot","8.5","Lamb"
"Rabbit Stifado","Greek","Main Course","Non-Veg","hot","7.8","Rabbit"
"Beef Stifado","Greek","Main Course","Non-Veg","hot","8.9","Beef"
"Soutzoukakia","Greek","Main Course","Non-Veg","hot","8.6","Beef"
"Spanakorizo","Greek","Main Course","Vegan","warm","8","Rice"
"Cod with Garlic Sauce","Greek","Main Course","Non-Veg","hot","8.4","Fish"
"Grilled Calamari","Greek","Main Course","Non-Veg","hot","8.7","Squid"
"Roasted Leg of Lamb","Greek","Main Course","Non-Veg","hot","9.5","Lamb"
"Baked Fish in Parchment","Greek","Main Course","Non-Veg","hot","8","Fish"
"Shrimp Souvlaki","Greek","Main Course","Non-Veg","hot","8.9","Shrimp"
"Chicken Kapama","Greek","Main Course","Non-Veg","hot","8.4","Chicken"
"Lamb Shank with Orzo","Greek","Main Course","Non-Veg","hot","9.2","Lamb"
"Eggplant Papoutsakia","Greek","Main Course","Non-Veg","hot","8.7","Beef"
"Grilled Salmon with Herbs","Greek","Main Course","Non-Veg","hot","8.5","Salmon"
"Braised Octopus in Red Wine","Greek","Main Course","Non-Veg","hot","8.8","Octopus"
"Whole Roasted Dorade","Greek","Main Course","Non-Veg","hot","8.2","Fish"
"Seafood Platter Aegean Style","Greek","Main Course","Non-Veg","hot","9.5","Mixed Seafood"
"Pork Belly Greek Style","Greek","Main Course","Non-Veg","hot","8.3","Pork"
"Stuffed Squid","Greek","Main Course","Non-Veg","hot","8","Squid"
"Veggie Moussaka","Greek","Main Course","Veg","hot","9","Lentils"
"Swordfish Brochettes","Greek","Main Course","Non-Veg","hot","8.1","Fish"
"Chicken Thighs with Artichokes","Greek","Main Course","Non-Veg","hot","7.9","Chicken"
"Mussels with Feta and Tomato","Greek","Main Course","Non-Veg","hot","8.4","Mussels"
"Grilled Tuna Steak","Greek","Main Course","Non-Veg","hot","8","Fish"
"Lemon Herb Meatballs","Greek","Main Course","Non-Veg","hot","8.2","Beef"
"Braised Short Ribs Greek Style","Greek","Main Course","Non-Veg","hot","8.8","Beef"
"Lobster Pasta","Greek","Main Course","Non-Veg","hot","9.6","Lobster"
"Roast Chicken with Herbs and Lemon","Greek","Main Course","Non-Veg","hot","9.3","Chicken"
"Grilled Porgy","Greek","Main Course","Non-Veg","hot","7.8","Fish"
"Lamb Loin Chops","Greek","Main Course","Non-Veg","hot","8.9","Lamb"
"Veggie Platter (Lahanika)","Greek","Main Course","Vegan","warm","8.5","None"
"Skewered Scallops","Greek","Main Course","Non-Veg","hot","8.1","Scallops"
"Baked Branzino with Herbs","Greek","Main Course","Non-Veg","hot","8.3","Fish"
"Mixed Grill Platter","Greek","Main Course","Non-Veg","hot","9.7","Mixed Meats"
"Baklava","Greek","Dessert","Veg","cold","10","Walnuts"
"Galaktoboureko","Greek","Dessert","Veg","warm","9.5","Milk"
"Loukoumades","Greek","Dessert","Veg","hot","9.8","Flour"
"Greek Yogurt with Honey & Walnuts","Greek","Dessert","Veg","cold","9.2","Yogurt"
"Kataifi","Greek","Dessert","Veg","cold","9","Walnuts"
"Rizogalo","Greek","Dessert","Veg","cold","8.5","Milk"
"Karidopita","Greek","Dessert","Veg","cold","8.7","Walnuts"
"Revani","Greek","Dessert","Veg","cold","8.3","Semolina"
"Melomakarona","Greek","Dessert","Vegan","cold","9.4","Walnuts"
"Kourabiedes","Greek","Dessert","Veg","cold","9.3","Almonds"
"Bougatsa","Greek","Dessert","Veg","hot","9.6","Milk"
"Ekmek Kataifi","Greek","Dessert","Veg","cold","8.9","Milk"
"Portokalopita","Greek","Dessert","Veg","cold","9.1","None"
"Halva","Greek","Dessert","Vegan","warm","8.4","Semolina"
"Spoon Sweets","Greek","Dessert","Vegan","cold","8","Fruit"
"Samali","Greek","Dessert","Veg","cold","7.9","Semolina"
"Mastic Ice Cream","Greek","Dessert","Veg","cold","8.8","Milk"
"Lemon Yogurt Cake","Greek","Dessert","Veg","cold","8.1","Yogurt"
"Diples","Greek","Dessert","Veg","cold","8.6","Flour"
"Almond Cookies","Greek","Dessert","Veg","cold","8.5","Almonds"
"Pistachio Baklava","Greek","Dessert","Veg","cold","9","Pistachios"
"Fig and Honey Cake","Greek","Dessert","Veg","cold","7.8","Figs"
"Honey Cheesecake","Greek","Dessert","Veg","cold","8.7","Cheese"
"Chocolate Baklava","Greek","Dessert","Veg","cold","8.9","Walnuts"
"Tahini Brownies","Greek","Dessert","Veg","cold","8.2","Sesame"
"Loukoumi","Greek","Dessert","Vegan","cold","8","None"
"Walnut and Honey Tart","Greek","Dessert","Veg","cold","8.2","Walnuts"
"Pasteli","Greek","Dessert","Vegan","cold","8.5","Sesame"
"Apple Phyllo Tart","Greek","Dessert","Veg","warm","8.1","None"
"Quince Preserves","Greek","Dessert","Vegan","cold","7.8","Fruit"
"Semolina Pudding","Greek","Dessert","Vegan","warm","8.4","Semolina"
"Yogurt Sorbet","Greek","Dessert","Veg","cold","8.6","Yogurt"
"Dried Figs with Walnuts","Greek","Dessert","Vegan","cold","8.3","Walnuts"
"Cinnamon Rice Cake","Greek","Dessert","Veg","warm","7.9","Rice"
"Phyllo Roses with Syrup","Greek","Dessert","Veg","cold","8.2","None"
"Grape Must Pudding","Greek","Dessert","Vegan","cold","8.7","Grapes"
"Sour Cherry Tart","Greek","Dessert","Veg","cold","8","Fruit"
"Chocolate Mousse with Olive Oil","Greek","Dessert","Veg","cold","7.5","None"
"Greek Coffee Cake","Greek","Dessert","Veg","cold","7.7","None"
"Honey Cookies","Greek","Dessert","Veg","cold","8.9","None"
"Spiced Poached Figs","Greek","Dessert","Vegan","cold","8.4","Figs"
"Pistachio Semolina Cake","Greek","Dessert","Veg","cold","8.8","Pistachios"
"Greek Fruit Platter with Yogurt","Greek","Dessert","Veg","cold","9","Yogurt"
"Chocolate Salami Greek Style","Greek","Dessert","Veg","cold","8.5","None"
"Sesame Brittle","Greek","Dessert","Vegan","cold","8.1","Sesame"
"Mastic Panna Cotta","Greek","Dessert","Veg","cold","8.6","Milk"
"Orange Semolina Cake","Greek","Dessert","Veg","cold","9.1","None"
"Greek Custard Pie","Greek","Dessert","Veg","cold","8.7","Milk"
"Walnut Cake with Syrup","Greek","Dessert","Veg","cold","9","Walnuts"
"Assorted Greek Dessert Platter","Greek","Dessert","Veg","cold","10","Mixed"
"Calamari Fritti","Italian","Appetizer","Non-Veg","hot","9.4","Squid"
"Bruschetta al Pomodoro","Italian","Appetizer","Vegan","warm","9.8","None"
