"dish_name","cuisine","category","dietary_type","temp","importance","primary_protein"
"Arancini","Italian","Appetizer","Non-Veg","hot","9.5","Beef"
"Burrata with Prosciutto","Italian","Appetizer","Non-Veg","cold","9.7","Pork"
"Caprese Salad","Italian","Salad","Veg","cold","9.6","Cheese"
"Beef Carpaccio","Italian","Appetizer","Non-Veg","cold","8.8","Beef"
"Mussels Fra Diavolo","Italian","Appetizer","Non-Veg","hot","8.9","Mussels"
"Clams Oreganata","Italian","Appetizer","Non-Veg","hot","8.5","Clams"
"Polpette","Italian","Appetizer","Non-Veg","hot","9.2","Beef"
"Focaccia with Rosemary","Italian","Appetizer","Vegan","warm","8.4","None"
"Fried Zucchini Flowers","Italian","Appetizer","Veg","hot","8.7","Cheese"
"Grilled Octopus","Italian","Appetizer","Non-Veg","hot","9.1","Octopus"
"Tuna Tartare","Italian","Appetizer","Non-Veg","cold","8.3","Tuna"
"Eggplant Rollatini","Italian","Appetizer","Veg","hot","8.9","Cheese"
"Prosciutto e Melone","Italian","Appetizer","Non-Veg","cold","9","Pork"
"Garlic Knots","Italian","Appetizer","Veg","hot","7.8","None"
"Fried Smelts","Italian","Appetizer","Non-Veg","hot","7.5","Fish"
"Grilled Artichokes","Italian","Appetizer","Vegan","hot","8.2","None"
"Crostini di Fegato","Italian","Appetizer","Non-Veg","warm","7.9","Chicken Liver"
"Stuffed Cherry Peppers","Italian","Appetizer","Non-Veg","cold","8.6","Pork"
"Shrimp Scampi Appetizer","Italian","Appetizer","Non-Veg","hot","9.3","Shrimp"
"Mozzarella in Carrozza","Italian","Appetizer","Veg","hot","8.8","Cheese"
"Roasted Peppers with Anchovies","Italian","Appetizer","Non-Veg","cold","8.1","Anchovies"
"Panzanella Salad","Italian","Salad","Vegan","cold","8.5","None"
"Vitello Tonnato","Italian","Appetizer","Non-Veg","cold","8","Veal"
"Minestrone Soup","Italian","Soup","Vegan","hot","9","Beans"
"Pasta e Fagioli","Italian","Soup","Veg","hot","9.2","Beans"
"Scamorza Affumicata","Italian","Appetizer","Veg","hot","8.4","Cheese"
"Baccala Mantecato","Italian","Appetizer","Non-Veg","warm","8.7","Fish"
"Suppli al Telefono","Italian","Appetizer","Veg","hot","9.1","Cheese"
"Spiedini alla Romana","Italian","Appetizer","Non-Veg","hot","8.3","Cheese"
"Escarole and Beans","Italian","Appetizer","Vegan","hot","8.5","Beans"
"Marinated Olives","Italian","Appetizer","Vegan","cold","8","None"
"White Bean Dip with Crostini","Italian","Appetizer","Vegan","cold","7.9","Beans"
"Grilled Scallops with Lemon","Italian","Appetizer","Non-Veg","hot","8.8","Scallops"
"Truffle Arancini","Italian","Appetizer","Veg","hot","9.3","Cheese"
"Culatello with Figs","Italian","Appetizer","Non-Veg","cold","9.6","Pork"
"Bresaola with Arugula","Italian","Appetizer","Non-Veg","cold","9","Beef"
"Fontina Fonduta","Italian","Appetizer","Veg","hot","8.2","Cheese"
"Fried Olives All'Ascolana","Italian","Appetizer","Non-Veg","hot","8.6","Mixed Meats"
"Caponata Siciliana","Italian","Appetizer","Vegan","cold","9.1","Eggplant"
"Panelle","Italian","Appetizer","Vegan","hot","8","Chickpeas"
"Steamed Cockles","Italian","Appetizer","Non-Veg","hot","8.4","Clams"
"Lobster Ravioli Appetizer","Italian","Appetizer","Non-Veg","hot","9.2","Lobster"
"Shishito Peppers with Parmesan","Italian","Appetizer","Veg","hot","7.8","None"
"Polenta Fries","Italian","Appetizer","Vegan","hot","8.3","Corn"
"Sardines in Saor","Italian","Appetizer","Non-Veg","cold","8.7","Sardines"
"Stracciatella Soup","Italian","Soup","Veg","hot","8.1","Egg"
"Roasted Garlic with Ricotta","Italian","Appetizer","Veg","warm","8.5","Cheese"
"Antipasto Misto Platter","Italian","Appetizer","Non-Veg","cold","10","Mixed"
"Lasagna Bolognese","Italian","Main Course","Non-Veg","hot","10","Beef"
"Spaghetti Carbonara","Italian","Main Course","Non-Veg","hot","10","Pork"
"Chicken Parmigiana","Italian","Main Course","Non-Veg","hot","9.8","Chicken"
"Fettuccine Alfredo","Italian","Main Course","Veg","hot","9.2","None"
"Veal Marsala","Italian","Main Course","Non-Veg","hot","8.9","Veal"
"Osso Buco","Italian","Main Course","Non-Veg","hot","9.4","Veal"
"Eggplant Parmigiana","Italian","Main Course","Veg","hot","9.5","None"
"Penne alla Vodka","Italian","Main Course","Veg","hot","9","None"
"Rigatoni Amatriciana","Italian","Main Course","Non-Veg","hot","9.1","Pork"
"Linguine alle Vongole","Italian","Main Course","Non-Veg","hot","9.6","Clams"
"Chicken Piccata","Italian","Main Course","Non-Veg","hot","8.8","Chicken"
"Saltimbocca alla Romana","Italian","Main Course","Non-Veg","hot","9.1","Veal"
"Risotto alla Milanese","Italian","Main Course","Veg","hot","8.7","None"
"Pappardelle with Wild Boar Ragu","Italian","Main Course","Non-Veg","hot","8.5","Wild Boar"
"Gnocchi Sorrento","Italian","Main Course","Veg","hot","9.2","None"
"Lobster Fra Diavolo","Italian","Main Course","Non-Veg","hot","9.7","Lobster"
"Veal Milanese","Italian","Main Course","Non-Veg","hot","8.9","Veal"
"Branzino al Forno","Italian","Main Course","Non-Veg","hot","9.3","Fish"
"Cacio e Pepe","Italian","Main Course","Veg","hot","9.6","None"
"Bucatini all'Amatriciana","Italian","Main Course","Non-Veg","hot","9.1","Pork"
"Chicken Marsala","Italian","Main Course","Non-Veg","hot","8.7","Chicken"
"Seafood Cioppino","Italian","Main Course","Non-Veg","hot","9.4","Mixed Seafood"
"Pork Osso Buco","Italian","Main Course","Non-Veg","hot","8.3","Pork"
"Tortellini in Brodo","Italian","Main Course","Non-Veg","hot","8.6","Mixed Meats"
"Tagliatelle al Tartufo","Italian","Main Course","Veg","hot","9.5","None"
"Bistecca alla Fiorentina","Italian","Main Course","Non-Veg","hot","9.8","Beef"
"Shrimp Fra Diavolo","Italian","Main Course","Non-Veg","hot","9.1","Shrimp"
"Veal Saltimbocca","Italian","Main Course","Non-Veg","hot","9","Veal"
"Manicotti","Italian","Main Course","Veg","hot","8.5","Cheese"
"Baked Ziti","Italian","Main Course","Veg","hot","8.8","Cheese"
"Lobster Risotto","Italian","Main Course","Non-Veg","hot","9.6","Lobster"
"Ravioli di Zucca","Italian","Main Course","Veg","hot","8.9","Pumpkin"
"Spaghetti alle Vongole","Italian","Main Course","Non-Veg","hot","9.7","Clams"
"Cavatelli with Sausage & Broccoli Rabe","Italian","Main Course","Non-Veg","hot","8.7","Pork"
"Salmon with Pesto","Italian","Main Course","Non-Veg","hot","8.4","Salmon"
"Veal Chop Valdostana","Italian","Main Course","Non-Veg","hot","8.5","Veal"
"Pork Milanese","Italian","Main Course","Non-Veg","hot","8.3","Pork"
"Orecchiette with Sausage & Broccoli Rabe","Italian","Main Course","Non-Veg","hot","9.1","Pork"
"Chicken Francese","Italian","Main Course","Non-Veg","hot","8.8","Chicken"
"Short Rib Pappardelle","Italian","Main Course","Non-Veg","hot","8.9","Beef"
"Linguine Pescatore","Italian","Main Course","Non-Veg","hot","9.4","Mixed Seafood"
"Mushroom Risotto","Italian","Main Course","Veg","hot","9.2","Mushroom"
"Veal Piccata","Italian","Main Course","Non-Veg","hot","8.6","Veal"
"Rack of Lamb with Rosemary","Italian","Main Course","Non-Veg","hot","9","Lamb"
"Spaghetti Pomodoro","Italian","Main Course","Vegan","hot","10","None"
"Braised Rabbit","Italian","Main Course","Non-Veg","hot","8.2","Rabbit"
"Egg Yolk Raviolo","Italian","Main Course","Veg","hot","8.7","Egg"
"Mafalde with Sunday Sauce","Italian","Main Course","Non-Veg","hot","8.4","Mixed Meats"
"Branzino al Cartoccio","Italian","Main Course","Non-Veg","hot","8.5","Fish"
"Veal Chop Parmigiana","Italian","Main Course","Non-Veg","hot","9.1","Veal"
"Tiramisu","Italian","Dessert","Veg","cold","10","Milk"
"Cannoli","Italian","Dessert","Veg","cold","9.8","Cheese"
"Panna Cotta","Italian","Dessert","Veg","cold","9.5","Milk"
"Affogato al Caffe","Italian","Dessert","Veg","cold","9.4","Milk"
"Gelato","Italian","Dessert","Veg","cold","10","Milk"
"Zeppole","Italian","Dessert","Veg","hot","8.8","None"
"Ricotta Cheesecake","Italian","Dessert","Veg","cold","9.1","Cheese"
"Warm Chocolate Budino","Italian","Dessert","Veg","hot","8.7","None"
"Lemon Sorbetto","Italian","Dessert","Vegan","cold","9.2","None"
"Chocolate Budino","Italian","Dessert","Veg","cold","8.5","None"
"Biscotti","Italian","Dessert","Veg","cold","8.9","Almonds"
"Semifreddo","Italian","Dessert","Veg","cold","8.4","Milk"
"Flourless Chocolate Cake","Italian","Dessert","Veg","cold","8.6","None"
"Amaretti Cookies","Italian","Dessert","Veg","cold","8.2","Almonds"
"Panettone Bread Pudding","Italian","Dessert","Veg","hot","8","Milk"
"Torrone","Italian","Dessert","Veg","cold","8.1","Almonds"
"Zabaglione with Berries","Italian","Dessert","Veg","warm","8.7","Egg"
"Sfogliatella","Italian","Dessert","Veg","warm","9.3","Cheese"
"Crostata di Frutta","Italian","Dessert","Veg","cold","8.4","None"
"Espresso Martini Mousse","Italian","Dessert","Veg","cold","7.5","None"
"Struffoli","Italian","Dessert","Veg","cold","8.2","None"
"Cassata Siciliana","Italian","Dessert","Veg","cold","8.8","Cheese"
"Bomboloni","Italian","Dessert","Veg","hot","8.9","None"
"Budino di Riso","Italian","Dessert","Veg","cold","7.9","Rice"
"Ricotta Pie","Italian","Dessert","Veg","cold","8.3","Cheese"
"Olive Oil Cake","Italian","Dessert","Veg","cold","8.8","None"
"Limoncello Cake","Italian","Dessert","Veg","cold","8.4","None"
"Mascarpone Cream with Berries","Italian","Dessert","Veg","cold","8.9","Cheese"
"Nutella Crepes","Italian","Dessert","Veg","hot","9.5","None"
"Pistachio Semifreddo","Italian","Dessert","Veg","cold","8.7","Pistachio"
"Cantucci","Italian","Dessert","Veg","cold","9","Almond"
"Spumoni","Italian","Dessert","Veg","cold","7.8","Milk"
"Chocolate Tartufo","Italian","Dessert","Veg","cold","8.5","Milk"
"Zuppa Inglese","Italian","Dessert","Veg","cold","8.1","Milk"
"Poached Pears in Red Wine","Italian","Dessert","Vegan","cold","8.6","None"
"Fig and Walnut Tart","Italian","Dessert","Veg","cold","8.3","Walnut"
"Almond Cake","Italian","Dessert","Veg","cold","8.2","Almond"
"Pizzelle","Italian","Dessert","Veg","cold","8","None"
"Crema di Mascarpone","Italian","Dessert","Veg","cold","8.4","Cheese"
"Baci di Dama","Italian","Dessert","Veg","cold","8.5","Hazelnut"
"Mimosa Cake","Italian","Dessert","Veg","cold","8","None"
"Honey Balsamic Strawberries","Italian","Dessert","Vegan","cold","8.7","None"
"Chocolate Salame","Italian","Dessert","Veg","cold","8.3","None"
"Ciambellone","Italian","Dessert","Veg","cold","7.9","None"
"Frittelle","Italian","Dessert","Veg","hot","8.6","None"
"Peach and Amaretti Crumble","Italian","Dessert","Veg","hot","8.4","None"
"Hazelnut Tart","Italian","Dessert","Veg","cold","8.2","Hazelnut"
"Torta della Nonna","Italian","Dessert","Veg","cold","9.1","Milk"
"Crema Carsolina","Italian","Dessert","Veg","cold","7.7","Milk"
"Chocolate Budino Dark","Italian","Dessert","Veg","cold","8.8","None"
"Guacamole with Warm Tortilla Chips","Mexican","Appetizer","Vegan","cold","10","None"
"Queso Fundido with Chorizo","Mexican","Appetizer","Non-Veg","hot","9.4","Pork"
"Ceviche Blanco","Mexican","Appetizer","Non-Veg","cold","9.6","Fish"
"Esquites","Mexican","Appetizer","Veg","hot","8.9","None"
"Shrimp Aguachile","Mexican","Appetizer","Non-Veg","cold","9.2","Shrimp"
"Nachos Supreme","Mexican","Appetizer","Non-Veg","hot","9.5","Beef"
"Quesadilla de Flor de Calabaza","Mexican","Appetizer","Veg","hot","8.4","None"
"Chilaquiles Verdes","Mexican","Appetizer","Veg","hot","9.1","None"
"Beef Flautas","Mexican","Appetizer","Non-Veg","hot","8.7","Beef"
"Chicken Taquitos","Mexican","Appetizer","Non-Veg","hot","8.6","Chicken"
"Gorditas","Mexican","Appetizer","Non-Veg","hot","8.5","Pork"
"Sopes de Chorizo","Mexican","Appetizer","Non-Veg","hot","8.8","Pork"
"Tostadas de Tinga","Mexican","Appetizer","Non-Veg","hot","9.3","Chicken"
"Tuna Tostada","Mexican","Appetizer","Non-Veg","cold","8.9","Tuna"
"Sopa de Lima","Mexican","Soup","Non-Veg","hot","9","Chicken"
"Tortilla Soup","Mexican","Soup","Veg","hot","9.7","None"
"Elote","Mexican","Appetizer","Veg","hot","10","None"
"Carne Asada Fries","Mexican","Appetizer","Non-Veg","hot","8.3","Beef"
"Camarones al Mojo de Ajo","Mexican","Appetizer","Non-Veg","hot","9.1","Shrimp"
"Tamales (Chicken/Pork)","Mexican","Appetizer","Non-Veg","hot","9.5","Pork"
"Octopus Tostada","Mexican","Appetizer","Non-Veg","cold","8.5","Octopus"
"Empanadas de Carne","Mexican","Appetizer","Non-Veg","hot","8.2","Beef"
"Jalapeño Poppers","Mexican","Appetizer","Veg","hot","8","None"
"Tlacoyos","Mexican","Appetizer","Veg","hot","7.9","Beans"
"Shrimp Cocktail (Mexican)","Mexican","Appetizer","Non-Veg","cold","8.8","Shrimp"
"Queso Panela Grilled","Mexican","Appetizer","Veg","hot","8.2","Cheese"
"Chorizo Mussels","Mexican","Appetizer","Non-Veg","hot","8.7","Mussels"
"Crispy Potato Tacos","Mexican","Appetizer","Veg","hot","8.9","Potato"
"Scallop Aguachile","Mexican","Appetizer","Non-Veg","cold","8.8","Scallops"
"Pickled Vegetables (Escabeche)","Mexican","Appetizer","Vegan","cold","7.5","None"
"Fried Calamari Mexican Style","Mexican","Appetizer","Non-Veg","hot","8.4","Squid"
"Mole Fries","Mexican","Appetizer","Veg","hot","8.1","None"
"Chicharrones with Salsa","Mexican","Appetizer","Non-Veg","cold","9","Pork"
"Black Bean Soup","Mexican","Soup","Vegan","hot","8.6","Beans"
"Crab Salpicon","Mexican","Appetizer","Non-Veg","cold","8.3","Crab"
"Fried Avocado","Mexican","Appetizer","Veg","hot","8","None"
"Shishito Peppers with Lime","Mexican","Appetizer","Vegan","hot","7.8","None"
"Mini Chimichangas","Mexican","Appetizer","Non-Veg","hot","8.2","Beef"
"Salsa Flight with Chips","Mexican","Appetizer","Vegan","cold","10","None"
"Beef Negimaki Mexican Style","Mexican","Appetizer","Non-Veg","hot","7.6","Beef"
"Grilled Queso Blanco","Mexican","Appetizer","Veg","hot","8","Cheese"
"Picadillo Empanadas","Mexican","Appetizer","Non-Veg","hot","8.5","Beef"
"Fried Plantains","Mexican","Appetizer","Vegan","hot","9.2","None"
"Bean and Cheese Dip","Mexican","Appetizer","Veg","hot","8.4","Beans"
"Salmon Crudo with Habanero","Mexican","Appetizer","Non-Veg","cold","8.5","Salmon"
"Shrimp Flautas","Mexican","Appetizer","Non-Veg","hot","8.8","Shrimp"
"Duck Confit Tostada","Mexican","Appetizer","Non-Veg","cold","8.7","Duck"
"Mushroom Quesadilla","Mexican","Appetizer","Veg","hot","8.4","Mushroom"
"Mole Poblano Wings","Mexican","Appetizer","Non-Veg","hot","8.6","Chicken"
"Assorted Antojitos Platter","Mexican","Appetizer","Mixed","hot","9.8","Mixed"
"Carne Asada","Mexican","Main Course","Non-Veg","hot","10","Beef"
"Chicken Mole Poblano","Mexican","Main Course","Non-Veg","hot","10","Chicken"
"Enchiladas Suizas","Mexican","Main Course","Non-Veg","hot","9.2","Chicken"
"Carnitas Platter","Mexican","Main Course","Non-Veg","hot","9.8","Pork"
"Steak Fajitas","Mexican","Main Course","Non-Veg","hot","9.5","Beef"
"Chicken Fajitas","Mexican","Main Course","Non-Veg","hot","9.3","Chicken"
"Shrimp Fajitas","Mexican","Main Course","Non-Veg","hot","9","Shrimp"
"Tacos al Pastor Platter","Mexican","Main Course","Non-Veg","hot","9.9","Pork"
"Chile Relleno","Mexican","Main Course","Veg","hot","9.1","None"
"Fish Tacos Ensenada Style","Mexican","Main Course","Non-Veg","hot","9.6","Fish"
"Birria Tacos with Consomé","Mexican","Main Course","Non-Veg","hot","9.7","Beef"
"Cochinita Pibil","Mexican","Main Course","Non-Veg","hot","9.4","Pork"
"Barbacoa","Mexican","Main Course","Non-Veg","hot","9.5","Beef"
"Camarones a la Diabla","Mexican","Main Course","Non-Veg","hot","8.9","Shrimp"
"Red Snapper Veracruz","Mexican","Main Course","Non-Veg","hot","8.7","Fish"
"Pozole Rojo","Mexican","Main Course","Non-Veg","hot","9.6","Pork"
"Chile en Nogada","Mexican","Main Course","Non-Veg","warm","8.5","Beef"
"Pollo Asado","Mexican","Main Course","Non-Veg","hot","9","Chicken"
"Tampiqueña Steak","Mexican","Main Course","Non-Veg","hot","8.8","Beef"
"Enchiladas Rojas","Mexican","Main Course","Non-Veg","hot","9.1","None"
"Enchiladas de Mole","Mexican","Main Course","Non-Veg","hot","9.3","Chicken"
"Pork Belly in Salsa Verde","Mexican","Main Course","Non-Veg","hot","8.6","Pork"
"Short Rib en Mole","Mexican","Main Course","Non-Veg","hot","8.9","Beef"
"Bistec a la Mexicana","Mexican","Main Course","Non-Veg","hot","8.4","Beef"
"Grilled Salmon with Mango Salsa","Mexican","Main Course","Non-Veg","hot","8.7","Salmon"
"Lobster Tacos","Mexican","Main Course","Non-Veg","hot","9.4","Lobster"
"Duck Mole","Mexican","Main Course","Non-Veg","hot","8.8","Duck"
"Shrimp al Mojo de Ajo Main","Mexican","Main Course","Non-Veg","hot","9.2","Shrimp"
"Pollo con Crema","Mexican","Main Course","Non-Veg","hot","8.5","Chicken"
"Seafood Enchiladas","Mexican","Main Course","Non-Veg","hot","9","Mixed Seafood"
"Veggie Fajitas","Mexican","Main Course","Vegan","hot","8.4","Vegetables"
"Mushroom Enchiladas","Mexican","Main Course","Veg","hot","8.6","Mushroom"
"Tacos de Lengua","Mexican","Main Course","Non-Veg","hot","8.2","Beef"
"Braised Pork Ribs in Adobo","Mexican","Main Course","Non-Veg","hot","8.9","Pork"
"Grilled Octopus with Chorizo","Mexican","Main Course","Non-Veg","hot","9.1","Octopus"
"Crispy Beef Tacos","Mexican","Main Course","Non-Veg","hot","9.5","Beef"
"Mixed Grill Parrillada","Mexican","Main Course","Non-Veg","hot","9.7","Mixed Meats"
"Snapper with Garlic Sauce","Mexican","Main Course","Non-Veg","hot","8.4","Fish"
"Pork Adobo","Mexican","Main Course","Non-Veg","hot","8.3","Pork"
"Chicken Flautas Main","Mexican","Main Course","Non-Veg","hot","9.3","Chicken"
"Grilled Swordfish with Lime","Mexican","Main Course","Non-Veg","hot","8.1","Fish"
"Lamb Chops with Salsa Verde","Mexican","Main Course","Non-Veg","hot","8.7","Lamb"
"Roasted Cauliflower with Mole","Mexican","Main Course","Veg","hot","8.2","None"
"Beef Burrito Gigante","Mexican","Main Course","Non-Veg","hot","9.6","Beef"
"Chimichanga Supreme","Mexican","Main Course","Non-Veg","hot","9","Beef"
"Vegetable Enchiladas","Mexican","Main Course","Veg","hot","8.3","Vegetables"
"Grilled Branzino Mexican Style","Mexican","Main Course","Non-Veg","hot","8.5","Fish"
"Crab Meat Enchiladas","Mexican","Main Course","Non-Veg","hot","8.4","Crab"
"Seafood Paella Mexican Style","Mexican","Main Course","Non-Veg","hot","8.9","Mixed Seafood"
"Tostada Tower","Mexican","Main Course","Non-Veg","hot","8","Beef"
"Churros with Chocolate Sauce","Mexican","Dessert","Veg","hot","10","None"
"Tres Leches Cake","Mexican","Dessert","Veg","cold","10","Milk"
"Flan","Mexican","Dessert","Veg","cold","9.5","Egg"
"Sopapillas with Honey","Mexican","Dessert","Veg","hot","9.2","None"
"Fried Ice Cream","Mexican","Dessert","Veg","cold","9.4","Milk"
"Chocoflan","Mexican","Dessert","Veg","cold","8.9","Milk"
"Arroz con Leche","Mexican","Dessert","Veg","warm","9","Rice"
"Buñuelos","Mexican","Dessert","Vegan","cold","8.5","None"
"Dulce de Leche Cheesecake","Mexican","Dessert","Veg","cold","9.1","Cheese"
"Mexican Hot Chocolate Lava Cake","Mexican","Dessert","Veg","hot","8.8","None"
"Pastel de Elote","Mexican","Dessert","Veg","warm","8.4","Corn"
"Coconut Flan","Mexican","Dessert","Veg","cold","8.3","Milk"
"Mango Sorbet with Chamoy","Mexican","Dessert","Vegan","cold","9.2","None"
"Cajeta Crepes","Mexican","Dessert","Veg","hot","8.6","Milk"
"Tequila Lime Pie","Mexican","Dessert","Veg","cold","8.1","Milk"
"Guava Empanadas","Mexican","Dessert","Veg","hot","8.5","Cheese"
"Chocolate Chili Tart","Mexican","Dessert","Veg","cold","8","None"
"Fried Plantains with Ice Cream","Mexican","Dessert","Veg","hot","8.7","None"
"Churro Sundae","Mexican","Dessert","Veg","cold","8.9","Milk"
"Mexican Wedding Cookies","Mexican","Dessert","Veg","cold","8.4","Walnuts"
"Natillas","Mexican","Dessert","Veg","cold","7.9","Milk"
"Kahlua Bread Pudding","Mexican","Dessert","Veg","hot","8.2","Milk"
"Mezcal Poached Pears","Mexican","Dessert","Vegan","cold","7.8","None"
"Cinnamon Sugar Tortillas","Mexican","Dessert","Vegan","hot","7.5","None"
"Apple Chimichangas","Mexican","Dessert","Veg","hot","8","None"
"Passion Fruit Tart","Mexican","Dessert","Veg","cold","8.2","None"
"Strawberry Tamales","Mexican","Dessert","Veg","warm","8.8","None"
"Horchata Panna Cotta","Mexican","Dessert","Veg","cold","9","Milk"
"Pumpkin Flan","Mexican","Dessert","Veg","cold","8.5","Egg"
"Chocolate Avocado Mousse","Mexican","Dessert","Vegan","cold","8.3","None"
"Churro Cheesecake","Mexican","Dessert","Veg","cold","9.2","Cheese"
"Dulce de Leche Cookies","Mexican","Dessert","Veg","cold","8.7","Milk"
"Lime Tart","Mexican","Dessert","Veg","cold","8.4","None"
"Hibiscus Granita","Mexican","Dessert","Vegan","cold","8.1","None"
"Caramelized Peaches with Cream","Mexican","Dessert","Veg","warm","7.9","Milk"
"Mexican Brownies with Chili","Mexican","Dessert","Veg","cold","8.6","None"
"Vanilla Bean Flan","Mexican","Dessert","Veg","cold","9.4","Egg"
"Spiced Fruit Platter","Mexican","Dessert","Vegan","cold","9.1","None"
"Coffee Flan","Mexican","Dessert","Veg","cold","8.2","Egg"
"Sweet Empanadas (Assorted)","Mexican","Dessert","Veg","hot","8.5","None"
"Papaya with Lime and Chili","Mexican","Dessert","Vegan","cold","8","None"
"Caramelized Walnuts","Mexican","Dessert","Vegan","cold","7.7","Walnut"
"Banana Empanadas","Mexican","Dessert","Veg","hot","8.4","None"
"Matcha Mexican Chocolate Truffles","Mexican","Dessert","Veg","cold","7.6","None"
"Honey Drizzled Sopapillas","Mexican","Dessert","Veg","hot","8.9","None"
"Paletas (Mexican Popsicles)","Mexican","Dessert","Vegan","cold","9.5","None"
"Pineapple Upside-Down Cake","Mexican","Dessert","Veg","cold","8.3","None"
"Margarita Sorbet","Mexican","Dessert","Vegan","cold","8","None"
"Almond Mexican Cookies","Mexican","Dessert","Veg","cold","8.1","Almond"
"Assorted Mexican Dessert Platter","Mexican","Dessert","Veg","cold","10","Mixed"
"Arnaki Lemonato","Greek","Main","Non-Veg","hot","9.0","Lamb"
"Briam","Greek","Main","Vegan","hot","8.5","None"
"Halloumi Souvlaki with Vegetables","Greek","Appetizer","Veg","hot","8.8","None"
"Loukoumades with Honey","Greek","Dessert","Veg","hot","9.5","None"
"Revithia","Greek","Main","Vegan","hot","8.2","None"
"Aloo Tikki Chaat","Indian","Appetizer","Veg","hot","9.2","None"
"Kathi Roll","Indian","Main","Non-Veg","hot","9.0","Chicken"
"Kulfi Falooda","Indian","Dessert","Veg","cold","9.4","None"
"Misal Pav","Indian","Main","Vegan","hot","8.9","None"
"Rogan Josh","Indian","Main","Non-Veg","hot","9.8","Lamb"
"Uttapam","Indian","Main","Vegan","hot","8.5","None"
"Melanzane alla Parmigiana","Italian","Main","Veg","hot","9.3","None"
"Pappa al Pomodoro","Italian","Appetizer","Vegan","hot","8.4","None"
"Porchetta Panino","Italian","Main","Non-Veg","hot","9.1","Pork"
"Ribollita","Italian","Main","Vegan","hot","8.8","None"
"Saltimbocca","Italian","Main","Non-Veg","hot","9.4","Veal"
"Suppli","Italian","Appetizer","Veg","hot","8.9","None"
"Birria Ramen","Mexican","Main","Non-Veg","hot","9.0","Beef"
"Marquesitas","Mexican","Dessert","Veg","hot","8.7","None"
"Mole Poblano","Mexican","Main","Non-Veg","hot","9.9","Chicken"
"Nieve de Mango","Mexican","Dessert","Vegan","cold","8.5","None"
"Rajas con Crema","Mexican","Appetizer","Veg","hot","8.6","None"
"Tlayuda","Mexican","Main","Non-Veg","hot","9.2","Beef"
"Torta Ahogada","Mexican","Main","Non-Veg","hot","9.1","Pork"
"Kai Jeow","Thai","Appetizer","Veg","hot","8.2","Egg"
"Kanom Jeen Nam Ya","Thai","Main","Non-Veg","hot","8.8","Fish"
"Khanom Krok","Thai","Dessert","Vegan","hot","9.3","None"
"Massaman Beef Curry","Thai","Main","Non-Veg","hot","9.7","Beef"
"Moo Ping","Thai","Appetizer","Non-Veg","hot","9.4","Pork"
"Thai Coconut Ice Cream","Thai","Dessert","Vegan","cold","9.0","None"
